Time (s),x (cm),y (cm),theta (rad)
1654213186.796257,2.3141676138038747e-05,-3.99026830564253e-05,-1.2166813575712434
1654213186.796631,3.191837822669186e-05,-6.364295404637232e-05,-1.2166849613333883
1654213186.808931,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166665424899803
1654213186.843075,2.3141501515056007e-05,-3.990274854004383e-05,-1.216682978653672
1654213186.882739,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166886332246372
1654213186.992311,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166527528128481
1654213186.992733,2.3141501515056007e-05,-3.990274854004383e-05,-1.216677753808954
1654213187.035466,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166796386659728
1654213187.035839,2.3141501515056007e-05,-3.990274854004383e-05,-1.216689658629053
1654213187.079569,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166809278449315
1654213187.080071,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166850294624627
1654213187.128359,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166813575712434
1654213187.159372,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166794727142622
1654213187.20297,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166798046176883
1654213187.248086,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166790429879406
1654213187.248496,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166713376082892
1654213187.291192,2.3141501515056007e-05,-3.990274854004383e-05,-1.21667596677495
1654213187.324348,2.3141501515056007e-05,-3.990274854004383e-05,-1.2166794727142622
1654213187.367408,3.191828363924287e-05,-6.36429904261604e-05,-1.21667990244058
1654213187.411137,2.314153971383348e-05,-3.990273762610741e-05,-1.2166828127019123
1654213187.455518,2.314153971383348e-05,-3.990273762610741e-05,-1.2166842678325858
1654213187.455897,2.314153971383348e-05,-3.990273762610741e-05,-1.2166794727142622
1654213187.499443,2.314153971383348e-05,-3.990273762610741e-05,-1.216678877036241
1654213187.523347,2.314153971383348e-05,-3.990273762610741e-05,-1.216687344045774
1654213187.572601,2.314153971383348e-05,-3.990273762610741e-05,-1.2166845997361544
1654213187.615035,1.4364787602971774e-05,-1.6162486645043828e-05,-1.2166774219055931
1654213187.660626,2.3141488782130182e-05,-3.9902755816001445e-05,-1.2166888969990692
1654213187.703706,2.3141488782130182e-05,-3.9902755816001445e-05,-1.2166883694501953
1654213187.746999,3.191805808455683e-05,-6.364307046169415e-05,-1.2166888969990692
1654213187.791043,2.314145785931032e-05,-3.990276309195906e-05,-1.2166858889150685
